,Randomization - 1,Randomization - 2,Randomization - 3,Randomization - 4,Randomization - 5,Randomization - 6,Randomization - 7,Randomization - 8,Randomization - 9,Randomization - 10,Randomization - 11,Randomization - 12,Randomization - 13,Randomization - 14,Randomization - 15
TCGA-12-0821,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-12-0822,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-0826,Test,Test,Train,Test,Test,Train,Test,Test,Test,Train,Train,Test,Train,Train,Test
TCGA-12-0827,Train,Test,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-12-0828,Train,Test,Train,Test,Train,Test,Test,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-12-0829,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-1088,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train
TCGA-12-1089,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-1090,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-1091,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-12-1092,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Test,Train
TCGA-12-1093,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-12-1094,Test,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train,Test,Train,Train
TCGA-12-1095,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-12-1096,Train,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-12-1097,Test,Test,Test,Test,Train,Train,Test,Test,Train,Train,Train,Train,Train,Test,Train
TCGA-12-1098,Train,Test,Test,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train
TCGA-12-1099,Train,Test,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train
TCGA-12-1598,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test,Train,Train,Test,Train,Train
TCGA-12-1599,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-1600,Train,Train,Test,Train,Test,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-12-1602,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-3644,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-12-3646,Train,Train,Train,Test,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test
TCGA-12-3648,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train
TCGA-12-3649,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-12-3650,Train,Train,Train,Train,Train,Test,Train,Test,Test,Train,Train,Train,Train,Train,Train
TCGA-12-3651,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-12-3652,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train
TCGA-12-3653,Train,Train,Train,Train,Train,Train,Test,Test,Train,Train,Train,Test,Train,Train,Train
TCGA-14-0783,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train
TCGA-14-0786,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test
TCGA-14-0787,Train,Train,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train
TCGA-14-0789,Test,Test,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Train,Train,Train
TCGA-14-0813,Train,Train,Test,Train,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train
TCGA-14-0817,Test,Train,Train,Test,Train,Train,Train,Test,Test,Train,Train,Train,Train,Train,Train
TCGA-14-0867,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Train,Test,Train,Train,Train
TCGA-14-0871,Train,Train,Train,Train,Test,Train,Train,Test,Train,Train,Train,Train,Train,Test,Test
TCGA-14-1034,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
TCGA-14-1037,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train,Test,Test,Train,Test
TCGA-14-1396,Train,Train,Train,Train,Test,Train,Train,Train,Train,Train,Train,Train,Train,Train,Train
